DATE,ROOM,BANDS,ADV,DOS,TOTAL ADV,ADV IN,NEED,LEFT,TOTAL DOS,DOS IN,FINAL,FINAL NEED ,CLE TAX TAKEN,BAND PAYOUT,TOTAL COUNT,REMAINING,BAR RINGS,,,
9/19/18,TAVERN,Van William,$12.00,$14.00,3,$36.00,$500.00,$464.00,12,$168.00,$204.00,$296.00,N/A,$500.00,15,-$296.00,$349.62,,,
9/20/18,TAVERN,Bully + Goldmines,$15.00,$15.00,43,$645.00,$516.00,-$129.00,25,$375.00,"$1,020.00",-$504.00,N/A,$816.00,68,$204.00,$959.25,,,
9/21/18,TAVERN,Still Corner ,$10.00,$12.00,56,$560.00,$550.00,-$10.00,31,$372.00,$932.00,-$382.00,N/A,$550.00,87,$382.00,"$1,298.81",,,
9/27/18,TAVERN,Cautious Clay,$15.00,$15.00,61,$915.00,"$1,250.00",$335.00,10,$150.00,"$1,065.00",$185.00,N/A,"$1,250.00",71,-$185.00,$892.60,,,
9/28/18,TAVERN,Dream Wife,$12.00,$12.00,46,$552.00,$700.00,$148.00,10,$120.00,$672.00,$28.00,N/A,$600.00,56,$72.00,$696.89,,,
10/2/18,TAVERN,Melodime,$12.00,$14.00,8,$96.00,$900.00,$804.00,12,$168.00,$264.00,$636.00,N/A,$450.00,20,-$186.00,$273.18,,,
10/5/18,TAVERN,Samfox,$8.00,$10.00,10,$80.00,$64.00,-$16.00,45,$450.00,$530.00,-$466.00,N/A,$424.00,55,$106.00,"$1,475.39",,,
10/7/18,BALLROOM,Emily Kinney,$20.00,$20.00,50,"$1,000.00","$2,250.00","$1,250.00",7,$140.00,"$1,140.00","$1,110.00",$45.60,"$2,250.00",57,"-$1,155.60",$373.33,,,
10/7/18,TAVERN,Valley Queen,$10.00,$12.00,15,$150.00,$97.50,-$52.50,7,$84.00,$234.00,-$136.50,N/A,$152.10,22,$81.90,$163.05,,,
10/8/18,TAVERN,The Beths,$10.00,$10.00,44,$440.00,$264.00,-$176.00,20,$200.00,$640.00,-$376.00,N/A,$384.00,64,$256.00,$671.04,,,
10/9/18,TAVERN,Petra Glynt,$7.00,$10.00,0,$0.00,$0.00,$0.00,2,$20.00,$20.00,-$20.00,N/A,$14.00,2,$6.00,$84.49,,,
10/15/18,TAVERN,Death Bells,$10.00,$10.00,2,$20.00,$13.00,-$7.00,12,$120.00,$140.00,-$127.00,N/A,$91.00,14,$49.00,$140.48,,,
10/16/18,TAVERN,Yamantaka // Sonic Titan,$12.00,$12.00,7,$84.00,$300.00,$216.00,10,$120.00,$204.00,$96.00,N/A,$290.00,17,-$86.00,$331.86,,,
